,word,url,word_class,definition,tokens,pos,pos_str,definitions_and_pos,length
10,life,https://www.dictionary.com/browse/life,0,"the condition that distinguishes organisms from inorganic objects and dead organisms, being manifested by growth through metabolism, reproduction, and the power of adaptation to environment through changes originating internally.","['the', 'condition', 'that', 'distinguishes', 'organisms', 'from', 'inorganic', 'objects', 'and', 'dead', 'organisms', ',', 'being', 'manifested', 'by', 'growth', 'through', 'metabolism', ',', 'reproduction', ',', 'and', 'the', 'power', 'of', 'adaptation', 'to', 'environment', 'through', 'changes', 'originating', 'internally', '.']","['DET', 'NOUN', 'PRON', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'PART', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADV', 'PUNCT']",det noun pron verb noun adp adj noun cconj adj noun punct aux verb adp noun adp noun punct noun punct cconj det noun adp noun part noun adp noun verb adv punct,"the condition that distinguishes organisms from inorganic objects and dead organisms, being manifested by growth through metabolism, reproduction, and the power of adaptation to environment through changes originating internally.det noun pron verb noun adp adj noun cconj adj noun punct aux verb adp noun adp noun punct noun punct cconj det noun adp noun part noun adp noun verb adv punct",33
11,woman,https://www.dictionary.com/browse/woman,0,"an adult female person.compare man (def. 1), girl (def. 1). ","['an', 'adult', 'female', 'person.compare', 'man', '(', 'def', '.', '1', ')', ',', 'girl', '(', 'def', '.', '1', ')', '.']","['DET', 'NOUN', 'ADJ', 'PROPN', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'NUM', 'PUNCT', 'PUNCT']",det noun adj propn noun punct propn propn num punct punct noun punct propn propn num punct punct,"an adult female person.compare man (def. 1), girl (def. 1). det noun adj propn noun punct propn propn num punct punct noun punct propn propn num punct punct",18
12,system,https://www.dictionary.com/browse/system,0,an assemblage or combination of things or parts forming a complex or unitary whole: a mountain system; a railroad system.,"['an', 'assemblage', 'or', 'combination', 'of', 'things', 'or', 'parts', 'forming', 'a', 'complex', 'or', 'unitary', 'whole', ':', 'a', 'mountain', 'system', ';', 'a', 'railroad', 'system', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'PUNCT']",det noun cconj noun adp noun cconj noun verb det adj cconj adj noun punct det noun noun punct det noun noun punct,an assemblage or combination of things or parts forming a complex or unitary whole: a mountain system; a railroad system.det noun cconj noun adp noun cconj noun verb det adj cconj adj noun punct det noun noun punct det noun noun punct,23
13,case,https://www.dictionary.com/browse/case,0,"an instance of the occurrence, existence, etc., of something: sailing in such a storm was a case of poor judgment.","['an', 'instance', 'of', 'the', 'occurrence', ',', 'existence', ',', 'etc', '.', ',', 'of', 'something', ':', 'sailing', 'in', 'such', 'a', 'storm', 'was', 'a', 'case', 'of', 'poor', 'judgment', '.']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'ADP', 'PRON', 'PUNCT', 'NOUN', 'ADP', 'DET', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",det noun adp det noun punct noun punct x x punct adp pron punct noun adp det det noun aux det noun adp adj noun punct,"an instance of the occurrence, existence, etc., of something: sailing in such a storm was a case of poor judgment.det noun adp det noun punct noun punct x x punct adp pron punct noun adp det det noun aux det noun adp adj noun punct",26
14,part,https://www.dictionary.com/browse/part,0,"a portion or division of a whole that is separate or distinct; piece, fragment, fraction, or section; constituent: the rear part of the house;to glue the two parts together.","['a', 'portion', 'or', 'division', 'of', 'a', 'whole', 'that', 'is', 'separate', 'or', 'distinct', ';', 'piece', ',', 'fragment', ',', 'fraction', ',', 'or', 'section', ';', 'constituent', ':', 'the', 'rear', 'part', 'of', 'the', 'house;to', 'glue', 'the', 'two', 'parts', 'together', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PRON', 'AUX', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'NOUN', 'DET', 'NUM', 'NOUN', 'ADV', 'PUNCT']",det noun cconj noun adp det noun pron aux adj cconj adj punct noun punct noun punct noun punct cconj noun punct noun punct det adj noun adp det propn noun det num noun adv punct,"a portion or division of a whole that is separate or distinct; piece, fragment, fraction, or section; constituent: the rear part of the house;to glue the two parts together.det noun cconj noun adp det noun pron aux adj cconj adj punct noun punct noun punct noun punct cconj noun punct noun punct det adj noun adp det propn noun det num noun adv punct",36
15,group,https://www.dictionary.com/browse/group,0,any collection or assemblage of persons or things; cluster; aggregation: a group of protesters; a remarkable group of paintings.,"['any', 'collection', 'or', 'assemblage', 'of', 'persons', 'or', 'things', ';', 'cluster', ';', 'aggregation', ':', 'a', 'group', 'of', 'protesters', ';', 'a', 'remarkable', 'group', 'of', 'paintings', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun cconj noun adp noun cconj noun punct noun punct noun punct det noun adp noun punct det adj noun adp noun punct,any collection or assemblage of persons or things; cluster; aggregation: a group of protesters; a remarkable group of paintings.det noun cconj noun adp noun cconj noun punct noun punct noun punct det noun adp noun punct det adj noun adp noun punct,24
16,number,https://www.dictionary.com/browse/number,0,a numeral or group of numerals.,"['a', 'numeral', 'or', 'group', 'of', 'numerals', '.']","['DET', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det adj cconj noun adp noun punct,a numeral or group of numerals.det adj cconj noun adp noun punct,7
17,world,https://www.dictionary.com/browse/world,0,"the earth or globe, considered as a planet.","['the', 'earth', 'or', 'globe', ',', 'considered', 'as', 'a', 'planet', '.']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']",det noun cconj noun punct verb adp det noun punct,"the earth or globe, considered as a planet.det noun cconj noun punct verb adp det noun punct",10
18,house,https://www.dictionary.com/browse/house,0,a building in which people live; residence for human beings.,"['a', 'building', 'in', 'which', 'people', 'live', ';', 'residence', 'for', 'human', 'beings', '.']","['DET', 'NOUN', 'ADP', 'PRON', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",det noun adp pron noun verb punct noun adp adj noun punct,a building in which people live; residence for human beings.det noun adp pron noun verb punct noun adp adj noun punct,12
19,area,https://www.dictionary.com/browse/area,0,any particular extent of space or surface; part: the dark areas in the painting; the dusty area of the room.,"['any', 'particular', 'extent', 'of', 'space', 'or', 'surface', ';', 'part', ':', 'the', 'dark', 'areas', 'in', 'the', 'painting', ';', 'the', 'dusty', 'area', 'of', 'the', 'room', '.']","['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",det adj noun adp noun cconj noun punct noun punct det adj noun adp det noun punct det adj noun adp det noun punct,any particular extent of space or surface; part: the dark areas in the painting; the dusty area of the room.det adj noun adp noun cconj noun punct noun punct det adj noun adp det noun punct det adj noun adp det noun punct,24
20,company,https://www.dictionary.com/browse/company,0,a number of individuals assembled or associated together; group of people.,"['a', 'number', 'of', 'individuals', 'assembled', 'or', 'associated', 'together', ';', 'group', 'of', 'people', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'ADV', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun adp noun verb cconj verb adv punct noun adp noun punct,a number of individuals assembled or associated together; group of people.det noun adp noun verb cconj verb adv punct noun adp noun punct,13
21,problem,https://www.dictionary.com/browse/problem,0,"any question or matter involving doubt, uncertainty, or difficulty.","['any', 'question', 'or', 'matter', 'involving', 'doubt', ',', 'uncertainty', ',', 'or', 'difficulty', '.']","['DET', 'NOUN', 'CCONJ', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT']",det noun cconj verb verb noun punct noun punct cconj noun punct,"any question or matter involving doubt, uncertainty, or difficulty.det noun cconj verb verb noun punct noun punct cconj noun punct",12
22,service,https://www.dictionary.com/browse/service,0,an act of helpful activity; help; aid: to do someone a service.,"['an', 'act', 'of', 'helpful', 'activity', ';', 'help', ';', 'aid', ':', 'to', 'do', 'someone', 'a', 'service', '.']","['DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'PUNCT', 'PART', 'VERB', 'PRON', 'DET', 'NOUN', 'PUNCT']",det noun adp adj noun punct noun punct verb punct part verb pron det noun punct,an act of helpful activity; help; aid: to do someone a service.det noun adp adj noun punct noun punct verb punct part verb pron det noun punct,16
23,place,https://www.dictionary.com/browse/place,0,"a particular portion of space, whether of definite or indefinite extent.","['a', 'particular', 'portion', 'of', 'space', ',', 'whether', 'of', 'definite', 'or', 'indefinite', 'extent', '.']","['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'SCONJ', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']",det adj noun adp noun punct sconj adp adj cconj adj noun punct,"a particular portion of space, whether of definite or indefinite extent.det adj noun adp noun punct sconj adp adj cconj adj noun punct",13
24,hand,https://www.dictionary.com/browse/hand,0,"the terminal, prehensile part of the upper limb in humans and other primates, consisting of the wrist, metacarpal area, fingers, and thumb.","['the', 'terminal', ',', 'prehensile', 'part', 'of', 'the', 'upper', 'limb', 'in', 'humans', 'and', 'other', 'primates', ',', 'consisting', 'of', 'the', 'wrist', ',', 'metacarpal', 'area', ',', 'fingers', ',', 'and', 'thumb', '.']","['DET', 'ADJ', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT']",det adj punct adj noun adp det adj noun adp noun cconj adj noun punct verb adp det noun punct adj noun punct noun punct cconj noun punct,"the terminal, prehensile part of the upper limb in humans and other primates, consisting of the wrist, metacarpal area, fingers, and thumb.det adj punct adj noun adp det adj noun adp noun cconj adj noun punct verb adp det noun punct adj noun punct noun punct cconj noun punct",28
25,party,https://www.dictionary.com/browse/party,0,"a social gathering, as of invited guests at a private home, for conversation, refreshments, entertainment, etc.: a cocktail party.","['a', 'social', 'gathering', ',', 'as', 'of', 'invited', 'guests', 'at', 'a', 'private', 'home', ',', 'for', 'conversation', ',', 'refreshments', ',', 'entertainment', ',', 'etc', '.', ':', 'a', 'cocktail', 'party', '.']","['DET', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'ADP', 'VERB', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'PUNCT']",det adj noun punct adp adp verb noun adp det adj noun punct adp noun punct noun punct noun punct x x punct det noun noun punct,"a social gathering, as of invited guests at a private home, for conversation, refreshments, entertainment, etc.: a cocktail party.det adj noun punct adp adp verb noun adp det adj noun punct adp noun punct noun punct noun punct x x punct det noun noun punct",27
26,school,https://www.dictionary.com/browse/school,0,"an institution where instruction is given, especially to persons under college age: the children are at school.","['an', 'institution', 'where', 'instruction', 'is', 'given', ',', 'especially', 'to', 'persons', 'under', 'college', 'age', ':', 'the', 'children', 'are', 'at', 'school', '.']","['DET', 'NOUN', 'SCONJ', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'ADV', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'ADP', 'NOUN', 'PUNCT']",det noun sconj noun aux verb punct adv adp noun adp noun noun punct det noun aux adp noun punct,"an institution where instruction is given, especially to persons under college age: the children are at school.det noun sconj noun aux verb punct adv adp noun adp noun noun punct det noun aux adp noun punct",20
27,country,https://www.dictionary.com/browse/country,0,a state or nation: what european countries have you visited?,"['a', 'state', 'or', 'nation', ':', 'what', 'european', 'countries', 'have', 'you', 'visited', '?']","['DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'AUX', 'PRON', 'VERB', 'PUNCT']",det noun cconj noun punct det adj noun aux pron verb punct,a state or nation: what european countries have you visited?det noun cconj noun punct det adj noun aux pron verb punct,12
28,point,https://www.dictionary.com/browse/point,0,"a sharp or tapering end, as of a dagger.","['a', 'sharp', 'or', 'tapering', 'end', ',', 'as', 'of', 'a', 'dagger', '.']","['DET', 'ADJ', 'CCONJ', 'NOUN', 'NOUN', 'PUNCT', 'ADP', 'ADP', 'DET', 'NOUN', 'PUNCT']",det adj cconj noun noun punct adp adp det noun punct,"a sharp or tapering end, as of a dagger.det adj cconj noun noun punct adp adp det noun punct",11
29,week,https://www.dictionary.com/browse/week,0,a period of seven successive days: that wallpapering i thought i could do in two days ended up taking me a whole week.,"['a', 'period', 'of', 'seven', 'successive', 'days', ':', 'that', 'wallpapering', 'i', 'thought', 'i', 'could', 'do', 'in', 'two', 'days', 'ended', 'up', 'taking', 'me', 'a', 'whole', 'week', '.']","['DET', 'NOUN', 'ADP', 'NUM', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'PRON', 'VERB', 'PRON', 'AUX', 'VERB', 'ADP', 'NUM', 'NOUN', 'VERB', 'ADP', 'VERB', 'PRON', 'DET', 'ADJ', 'NOUN', 'PUNCT']",det noun adp num adj noun punct det noun pron verb pron aux verb adp num noun verb adp verb pron det adj noun punct,a period of seven successive days: that wallpapering i thought i could do in two days ended up taking me a whole week.det noun adp num adj noun punct det noun pron verb pron aux verb adp num noun verb adp verb pron det adj noun punct,25
30,member,https://www.dictionary.com/browse/member,0,"a person, animal, plant, group, etc., that is part of a society, party, community, taxon, or other body.","['a', 'person', ',', 'animal', ',', 'plant', ',', 'group', ',', 'etc', '.', ',', 'that', 'is', 'part', 'of', 'a', 'society', ',', 'party', ',', 'community', ',', 'taxon', ',', 'or', 'other', 'body', '.']","['DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'PRON', 'AUX', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT']",det noun punct noun punct noun punct noun punct x x punct pron aux noun adp det noun punct noun punct noun punct noun punct cconj adj noun punct,"a person, animal, plant, group, etc., that is part of a society, party, community, taxon, or other body.det noun punct noun punct noun punct noun punct x x punct pron aux noun adp det noun punct noun punct noun punct noun punct cconj adj noun punct",29
31,end,https://www.dictionary.com/browse/end,0,"the last part or extremity, lengthwise, of anything that is longer than it is wide or broad: the end of a street;the end of a rope.","['the', 'last', 'part', 'or', 'extremity', ',', 'lengthwise', ',', 'of', 'anything', 'that', 'is', 'longer', 'than', 'it', 'is', 'wide', 'or', 'broad', ':', 'the', 'end', 'of', 'a', 'street;the', 'end', 'of', 'a', 'rope', '.']","['DET', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'ADV', 'PUNCT', 'ADP', 'PRON', 'PRON', 'AUX', 'ADJ', 'SCONJ', 'PRON', 'AUX', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']",det adj noun cconj noun punct adv punct adp pron pron aux adj sconj pron aux adj cconj adj punct det noun adp det adj noun adp det noun punct,"the last part or extremity, lengthwise, of anything that is longer than it is wide or broad: the end of a street;the end of a rope.det adj noun cconj noun punct adv punct adp pron pron aux adj sconj pron aux adj cconj adj punct det noun adp det adj noun adp det noun punct",30
