Data Series,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan 
  Greater China,60828,49506,42415,36676,33996,35493,23566,17723,13729,8563,6177,5759,5963,4307,6971,10099,9978,13514,7383,7852,9591,9467,4984,7222,8422,4475,3626,2845,2622,1410,220,29,33,8410,36496,413392,342199,319671,331072,318888,499809,498897,338988,349842,389376,365215,423941,393850,302561,280164,314537,309748,487260,470287,316668,330962,370121,349144,452920,358429,305363,311846,313669,289803,458502,455964,283320,298939,338068,328080,342756,389744,286667,247733,232317,232061,433176,430751,302687,304453,346908,328713,373011,302777,240080,221707,236418,219786,408047,383975,222897,214376,243881,198908,327971,207586,192653,194072,200246,173014,305291,309197,167167,172254,224305,232681,287243,264443,188271,182352,180418,241300,348046,366741,243393,263093,293857,280596,342660,256173,236886,235903,231172,183313,286756,288258,182892,195027,246075,240492,217565,270576
    China,19684,16024,14971,14127,14735,16622,10191,7150,5048,4131,3823,4361,4764,3479,6065,8952,8907,12669,6983,7388,9056,8892,4498,6599,7657,4007,3169,2422,2163,958,118,23,18,1488,6222,329047,272742,248636,258611,248568,397070,389503,266107,283445,302098,300209,339550,320581,238194,220053,247664,239824,380108,361019,242118,264802,291119,274879,366616,291208,244241,251096,245755,226978,357287,349654,218118,232361,252135,264711,268993,316805,226020,193984,173185,170204,315548,311124,221614,234089,269560,241230,277926,229150,168831,158736,165649,149929,267122,246819,144533,141375,153784,130827,238011,140548,124615,131731,133993,105780,174150,180653,91485,95987,126507,165642,203600,188237,121232,119618,117955,179130,242256,248635,166890,198429,227870,205790,252958,189107,171109,177112,170529,128830,206734,201652,122630,139946,173543,182348,158002,201742
    Hong Kong SAR,26598,19670,16052,13659,10669,11343,9220,8115,7244,3774,1794,901,754,527,494,669,602,750,361,276,221,245,245,288,510,313,300,291,342,333,68,2,13,5315,12808,38681,44954,40383,36073,35351,52768,50820,36226,36429,52206,34355,38921,30056,36982,32620,34865,35588,56484,52507,38115,36379,41414,41979,36433,29758,36712,33174,32964,31937,55265,54124,32684,33784,53971,33561,33169,34436,36763,30832,31512,30252,70842,69847,42330,39959,42712,58341,49837,34742,45853,37241,41272,40315,89436,82817,45453,45742,58959,41803,46985,34012,45669,39019,40146,39931,87173,80808,47182,47859,69675,43218,48440,41909,44788,38801,37570,33514,61337,67662,43857,40898,40252,50220,48473,32438,42299,36704,38630,34584,48138,50113,36897,33091,47141,35154,30416,39000
    Taiwan,12603,12592,10543,7918,7420,6104,3302,1961,1052,597,531,430,392,279,378,442,456,79,29,178,302,316,231,325,244,146,152,128,113,115,34,4,2,1419,16922,42608,20723,28548,34588,33138,45776,55340,34189,28308,32924,29032,42977,40086,24048,25608,30334,32317,46429,52987,34122,28056,35913,30448,47769,34907,21430,25919,33282,29364,42151,48487,30655,31092,30142,27976,38866,36187,21454,21568,26270,30267,42274,46691,36718,28809,33107,27401,42569,37087,22303,24062,27525,27836,45292,50278,30565,25498,29229,24694,40059,30685,18577,21240,24197,25373,38422,44229,25807,26699,25865,22115,32874,32033,19212,22197,23246,27180,40571,47290,29680,22261,24261,22606,39087,32717,20995,20223,20456,18385,27903,33511,21006,20607,22999,21401,27260,27457
    Other Markets In Greater China,1943,1220,849,972,1172,1424,853,497,385,61,29,67,53,22,34,36,13,16,10,10,12,14,10,10,11,9,5,4,4,4,0,0,0,188,544,3056,3780,2104,1800,1831,4195,3234,2466,1660,2148,1619,2493,3127,3337,1883,1674,2019,4239,3774,2313,1725,1675,1838,2102,2556,2980,1657,1668,1524,3799,3699,1863,1702,1820,1832,1728,2316,2430,1349,1350,1338,4512,3089,2025,1596,1529,1741,2679,1798,3093,1668,1972,1706,6197,4061,2346,1761,1909,1584,2916,2341,3792,2082,1910,1930,5546,3507,2693,1709,2258,1706,2329,2264,3039,1736,1647,1476,3882,3154,2966,1505,1474,1980,2142,1911,2483,1864,1557,1514,3981,2982,2359,1383,2392,1589,1887,2377
  North Asia,52061,54365,45806,45900,50394,40886,25153,16953,9940,3555,2508,2505,2770,2032,1264,1299,714,499,219,451,1068,1008,743,987,1149,1042,790,568,828,827,185,38,34,12809,69624,127547,118932,125534,136707,132515,173762,130551,102441,102715,104688,131235,132146,139127,105988,124453,127966,124766,163269,125988,98947,100225,94826,132206,121367,139610,107072,127487,118060,117359,155871,121532,102427,106798,95081,126243,132843,113643,101187,100810,97212,106835,155678,119480,98803,99965,91011,120159,123252,136486,111637,112895,117039,113105,153400,116129,90541,96909,88349,122861,113888,130360,112880,109720,113472,113725,151961,116155,93685,96160,87061,127048,121222,119359,106966,113069,108282,109529,138341,112139,94290,89444,84637,124217,108731,116158,100909,104935,97453,97357,130287,103740,86815,83112,80556,109198,112776,96683
    Japan,20199,22698,17459,19317,19153,12266,8386,6321,4343,869,534,552,580,430,779,780,341,297,121,281,797,601,358,555,712,763,513,353,511,565,137,30,25,11611,53425,57234,69706,72765,80106,80823,108104,71410,56709,59138,65212,84048,69885,66402,63738,73787,74019,77013,100491,68146,53413,53474,50253,83064,68191,64087,63553,75348,64624,69742,94900,63193,52932,54012,46245,82293,72654,53377,62570,64466,62858,68997,93619,64715,54993,55006,49613,79146,65604,62275,66719,67840,66416,73972,92793,67682,53257,52971,46687,79941,62422,58479,71920,69415,68609,74408,95248,69419,56044,54173,50751,85946,69230,59578,70932,72603,68034,73786,92179,70113,57757,55491,53292,87359,68442,62857,69538,70696,62436,65991,82747,61139,52387,50006,49203,74995,67306,50672
    South Korea,31811,31627,28294,26520,31174,28570,16724,10614,5578,2686,1972,1953,2187,1600,485,519,373,202,98,170,271,405,385,431,437,279,277,215,317,262,48,8,9,1198,16195,70277,49219,52765,56598,51660,65643,59119,45706,43561,39464,47168,62241,72704,42223,50634,53926,47734,62729,57823,45325,46720,44550,49127,53161,75502,43484,52123,53430,47602,60957,58326,49487,52762,48829,43942,60174,60247,38601,36314,34346,37742,62018,54700,43766,44932,41356,40959,57595,74180,44821,44988,50582,39063,60468,48375,37193,43883,41602,42872,51415,71820,40918,40230,44810,39276,56623,46666,37589,41946,36247,40995,51930,59745,35986,40388,40157,35599,45986,41913,36409,33857,31296,36755,40229,53193,31232,34014,34713,31247,47383,42524,34394,33018,31252,34077,45397,45933
    Other Markets In North Asia,51,40,53,63,67,50,43,18,19,0,2,0,3,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,36,7,4,3,32,15,22,26,16,12,19,20,21,27,32,21,19,49,19,209,31,23,15,15,21,35,16,6,15,14,13,8,24,7,8,15,19,16,30,8,96,41,65,44,27,42,54,53,31,97,67,41,70,139,72,91,55,60,48,51,61,42,75,53,41,90,70,52,41,63,107,62,36,48,78,91,144,176,113,124,96,49,103,60,108,139,225,304,119,157,77,34,88,101,126,73,78
  South Asia,91707,91381,101510,104616,94325,95003,76667,69978,52271,36779,20077,16901,33939,11879,4055,1105,112,342,19,122,5640,7233,4697,5186,2670,653,566,487,717,688,147,86,95,24252,64947,123324,146360,139058,142972,129203,135500,138129,170742,202168,145854,128593,108449,126665,144231,142818,140584,126605,130017,145372,179143,218406,152229,130137,102173,133622,146232,109309,144299,128319,118131,123743,156862,195198,134505,107296,95038,100555,123606,114255,119033,97415,107278,115028,130189,164572,121482,99974,82979,103184,114739,109202,110301,91560,101316,106930,121413,151623,108179,91552,76576,94529,107009,92377,110357,85979,95406,91829,117244,138919,103761,90346,81187,85714,109328,93631,93071,84032,90823,94977,121033,141973,101705,91079,76153,92370,103142,93535,92897,78515,84393,89931,114364,142003,98688,82938,78699,73360
    Bangladesh,9857,10481,10975,10694,10828,13119,7352,6352,7595,7480,3361,4893,5559,4170,1079,385,2,1,3,32,1700,2736,1203,1027,267,65,52,36,35,3,11,1,4,3738,6054,11631,13812,11040,12810,10698,11808,12564,13393,9595,11091,10894,9321,9960,11297,9001,11206,10074,11010,10784,11161,9341,10084,11243,9397,11716,12479,9023,9555,11277,9652,11416,9972,9548,8949,10218,8788,9712,10960,9830,10078,10081,9694,12303,8949,10700,10303,10845,8445,11151,11554,9272,10394,10159,10353,11793,9737,10447,9809,10186,7960,10923,11631,10027,10722,9486,11690,10108,11100,9853,9817,10721,9343,10428,10783,9899,9843,9589,10463,11364,10360,9611,9832,9617,7379,10584,10096,8922,9456,10030,9707,10330,9782,9231,9279,8951,7639,7250
    India,74044,73694,81796,86393,76249,75130,64337,59198,41079,27531,15567,11428,27672,7488,2936,678,95,332,12,84,3729,4193,3215,3946,2252,500,428,394,581,634,130,79,87,17848,52946,99643,115193,113717,116182,105075,108736,112026,144118,182727,120225,106506,88926,104562,117495,121319,114000,102251,100744,117798,154945,196072,122229,105560,81797,108067,114738,86432,120100,102262,91551,97125,136478,172822,109303,85299,75905,80062,94323,90734,94649,75074,80977,87919,112026,141986,94578,78859,64702,81363,87950,88350,86649,69846,77137,83806,101773,130511,84041,70302,60016,73605,82520,71555,88855,65751,69960,72724,94738,118953,79536,70488,62999,65557,83161,74389,72429,64556,66274,73550,99754,122030,76103,70480,59665,71162,78272,74794,72348,58748,63579,68749,93694,124147,76035,65547,61815,57265
    Pakistan,1623,1643,1492,1199,1458,1405,999,448,147,54,28,68,59,36,6,6,4,2,0,0,13,30,14,25,37,18,28,22,42,24,3,1,0,285,742,1774,1976,1474,1370,1474,1547,2581,2698,856,1293,1419,1327,1959,2373,1464,1643,1808,2519,3833,2550,1492,1893,2382,1302,2071,2521,1816,1552,1968,2159,4160,1421,1383,1434,2050,1522,1520,1947,1473,1901,1893,2494,3823,1196,1824,1439,1409,1250,1563,1764,1446,1857,1383,2250,2281,1947,1291,1125,1234,870,1500,1505,1242,1161,1115,1951,1374,2799,1357,1225,1570,1117,1259,1628,1309,1675,1419,1956,1512,2770,1646,1572,1734,1249,1778,1717,1395,1368,1710,1394,3327,3119,1489,1294,1492,1405,1496
    Sri Lanka,4270,3896,4707,4430,3901,3058,2709,2759,2928,1529,885,444,587,150,19,15,6,2,2,5,165,238,107,172,90,46,34,32,36,18,3,5,2,1660,3591,6236,10983,9755,8108,8314,9693,7768,7221,6772,10438,7044,6277,6367,9116,8097,9312,9442,12264,10183,7904,8880,15128,8101,7316,8059,12684,9585,9313,9322,11805,7806,6806,8870,12363,7058,6246,5931,12307,9161,7825,7745,11142,7919,5764,7434,12708,6699,6577,6624,9960,7432,8083,7477,8965,6782,5832,7652,11103,7640,5987,6139,8608,7603,6987,7536,9649,5711,6369,6994,11131,5772,6006,6440,11380,6408,6932,7144,10237,7038,6206,7066,12588,7474,6392,6741,10726,6607,7229,6398,7979,5847,6040,5346,10243,5286,6251,5407
    Other Markets In South Asia,1913,1667,2540,1900,1889,2291,1270,1221,522,185,236,68,62,35,15,21,5,5,2,1,33,36,158,16,24,24,24,3,23,9,0,0,2,721,1614,4040,4396,3072,4502,3642,3716,3190,3312,2218,2807,2730,2598,3817,3950,2937,4423,3030,3480,2774,2583,2621,2895,2851,2361,3709,3810,2453,3779,3490,2964,3236,2185,2575,2456,2671,2577,3330,4069,3057,4580,2622,2971,3064,2254,2628,2454,2162,2005,2483,3511,2702,3318,2695,2611,2268,2124,1722,2101,2190,1743,2362,2745,1950,2632,2091,2156,1912,2238,1762,2052,1795,1722,2030,2376,1626,2192,1324,1893,1513,1943,1620,1610,1774,1468,2105,2331,1817,2496,1629,1734,1678,1729,1790,1837,1662,1589,1942
  West Asia,10007,9139,9382,9810,11241,12301,5839,5283,3997,1721,620,288,361,373,313,158,207,143,57,108,150,142,94,141,175,112,128,117,92,136,25,6,8,1019,5452,13545,14757,12438,12276,11778,22847,20611,14877,8729,14102,15025,9935,11527,13458,10396,10437,11098,21407,19564,11585,8787,12030,20025,11038,13833,14639,11524,11036,13738,21152,20463,12753,10189,12708,22042,11749,12581,14895,11281,11017,17859,22592,24247,8629,11708,12264,20822,11158,14073,15497,11096,10882,15313,22048,20337,9962,10058,12262,16316,9073,13037,14667,10844,14898,11961,27567,16438,12928,9852,12344,15614,11577,11464,14064,9690,15847,11861,24739,12094,13492,8816,11626,14304,9734,10529,12180,9208,12244,10867,16915,15998,14077,8702,10029,15711,10478,10230
    Iran,126,232,232,184,122,135,169,127,21,12,4,3,11,5,10,6,2,0,0,0,4,8,4,4,6,8,2,6,11,0,0,0,0,8,518,493,581,698,738,1083,798,413,388,212,323,1864,446,420,292,342,233,551,874,923,822,551,937,4963,1777,1673,1304,1402,1423,2840,1724,1423,1607,1115,922,8000,1704,1421,1391,1632,1718,2534,1901,1529,972,1198,819,6275,1516,1156,1397,1048,943,1473,889,665,646,488,548,2937,632,601,934,758,756,1254,892,844,685,443,577,3433,896,898,1090,732,883,1431,961,606,699,421,504,2223,731,675,693,738,575,1747,1985,1403,1345,924,886,5048,1483,1726
    Israel,916,1403,2186,1990,1199,1145,753,930,703,321,298,94,99,131,107,33,60,65,30,48,62,30,11,28,49,37,27,13,16,40,4,4,0,211,1377,2958,2032,2009,2982,2160,1937,1866,1502,1523,2071,1945,1896,2374,1682,1704,2073,2379,1931,1756,1426,1288,1775,2115,2138,2118,1571,1566,2051,1528,1610,1807,1171,1627,1698,1633,1799,1630,1441,1729,2232,1639,1556,1446,1007,1371,1270,1582,1655,1707,1196,1421,1456,1356,1323,1266,1087,1188,1264,1414,1347,1425,1120,1602,1441,1134,1166,1065,1193,1075,1273,1320,1556,1325,1167,1175,1254,1330,1270,1313,1215,1044,1023,1241,1196,1351,1035,1091,1331,1171,999,1239,1088,977,979,1216,1336,1138
    Kuwait,476,229,222,468,1053,747,281,115,52,4,4,2,1,16,4,5,7,0,0,0,0,0,5,0,1,0,0,3,6,0,0,0,0,16,125,1127,729,450,357,382,2110,1663,932,130,514,522,662,1174,778,375,370,385,2347,1634,751,280,511,624,566,1173,726,422,343,555,2124,1604,576,314,436,703,508,1154,779,365,372,1399,2224,1946,259,549,404,674,470,1682,878,327,550,1024,2395,1631,538,463,476,546,519,1420,781,404,896,532,2784,1208,769,390,448,587,1471,766,902,371,1108,850,2943,475,857,320,479,550,1302,456,698,416,550,597,1231,965,979,318,389,340,655,483
    Saudi Arabia,689,1085,738,813,1190,1417,558,333,201,79,29,37,46,39,27,17,32,6,1,2,7,1,7,11,2,11,11,3,5,2,0,1,1,44,407,3007,1344,999,909,959,2490,2489,2204,378,1019,952,765,963,1304,768,703,807,1677,1708,1183,452,625,903,523,1276,817,754,621,883,1315,1427,640,594,928,1111,835,1065,809,1123,598,1750,2074,2278,501,1049,789,1332,797,1420,903,797,893,1845,1932,2177,735,711,873,1777,948,2500,1292,1660,2349,2311,5290,1760,2205,1556,1379,2037,1322,2617,1219,1007,2588,1089,3606,935,2839,954,1089,1610,972,1988,1100,1006,2517,1080,1785,2176,2519,874,1029,1244,975,1664
    United Arab Emirates,6135,4888,4671,4980,5974,6322,3012,3047,2539,1084,203,110,141,152,127,82,78,42,22,42,59,67,58,70,93,48,73,69,44,75,19,1,2,587,2268,4178,7174,6406,5338,5312,11049,9561,6917,5297,7716,7546,4409,4805,6704,5652,5129,5174,10476,9444,4969,4811,6215,8694,4311,4689,7163,5592,4922,5695,10315,9640,6688,5125,6122,8333,4834,4578,7575,4803,4527,7531,9881,11168,4478,5670,6712,8349,4470,5048,8192,5450,4984,6781,10164,10044,5101,5278,6628,7588,3871,4612,7868,4754,6704,5012,11862,8544,5676,4609,6512,6286,4072,3843,7039,4674,7356,5089,10701,6403,5375,4477,6582,6560,3873,4424,6444,4305,5100,4588,8068,7448,5716,4312,5282,6088,4211,3990
